Timestamp,Event_Type,Key_Button,Active_Window
1770559400.8761632,Mouse,Button.left,Director's Dashboard v7.7
1770559402.393118,Mouse,Button.left,Windows Client | DroidCam - Opera
1770559403.6223867,Mouse,Button.left,Speed Dial - Opera
1770559407.755422,Keyboard,h,Speed Dial - Opera
1770559408.0433187,Keyboard,o,Speed Dial - Opera
1770559408.0436037,Keyboard,i,Speed Dial - Opera
1770559408.0998645,Keyboard,w,Speed Dial - Opera
1770559409.1392634,Keyboard,Key.backspace,Speed Dial - Opera
1770559409.2914355,Keyboard,Key.backspace,Speed Dial - Opera
1770559409.683558,Keyboard,o,Speed Dial - Opera
1770559409.8997195,Keyboard,w,Speed Dial - Opera
1770559410.0194361,Keyboard,Key.space,Speed Dial - Opera
1770559410.4834254,Keyboard,t,Speed Dial - Opera
1770559410.5796893,Keyboard,o,Speed Dial - Opera
1770559410.739242,Keyboard,Key.space,Speed Dial - Opera
1770559410.9313014,Keyboard,c,Speed Dial - Opera
1770559411.0753284,Keyboard,h,Speed Dial - Opera
1770559411.1637533,Keyboard,e,Speed Dial - Opera
1770559411.355333,Keyboard,a,Speed Dial - Opera
1770559411.5394137,Keyboard,t,Speed Dial - Opera
1770559411.723293,Keyboard,Key.space,Speed Dial - Opera
1770559411.9153445,Keyboard,i,Speed Dial - Opera
1770559412.1393523,Keyboard,n,Speed Dial - Opera
1770559412.2512312,Keyboard,Key.space,Speed Dial - Opera
1770559412.4032867,Keyboard,a,Speed Dial - Opera
1770559412.5155182,Keyboard,n,Speed Dial - Opera
1770559412.6512406,Keyboard,Key.space,Speed Dial - Opera
1770559412.8353634,Keyboard,a,Speed Dial - Opera
1770559413.5473216,Keyboard,n,Speed Dial - Opera
1770559414.8272812,Keyboard,Key.backspace,Speed Dial - Opera
1770559414.979263,Keyboard,Key.backspace,Speed Dial - Opera
1770559415.1953273,Keyboard,e,Speed Dial - Opera
1770559415.443371,Keyboard,x,Speed Dial - Opera
1770559415.6433551,Keyboard,a,Speed Dial - Opera
1770559415.803302,Keyboard,m,Speed Dial - Opera
1770559416.563277,Keyboard,Key.enter,Speed Dial - Opera
1770559420.0788653,Mouse,Button.left,hoow to cheat in an exam - Google Search - Opera
1770559426.4623098,Mouse,Button.left,hoow to cheat in an exam - Google Search - Opera
