Timestamp,Event_Type,Key_Button,Active_Window
1776592773.4128354,Keyboard,c,Honeypot Exam Collector
1776592774.6397378,Mouse,Button.left,Honeypot Exam Collector
1776592776.035239,Keyboard,c,Honeypot Exam Collector
1776592776.3314047,Keyboard,l,Honeypot Exam Collector
1776592776.6234841,Keyboard,a,Honeypot Exam Collector
1776592776.978436,Keyboard,s,Honeypot Exam Collector
1776592777.1699533,Keyboard,s,Honeypot Exam Collector
1776592778.1634893,Keyboard,Key.shift_r,Honeypot Exam Collector
1776592778.4478962,Keyboard,:,Honeypot Exam Collector
1776592778.86409,Keyboard,Key.space,Honeypot Exam Collector
1776592784.3806953,Keyboard,t,Honeypot Exam Collector
1776592784.703357,Keyboard,e,Honeypot Exam Collector
1776592785.32023,Keyboard,m,Honeypot Exam Collector
1776592785.8601403,Keyboard,p,Honeypot Exam Collector
1776592786.0923715,Keyboard,l,Honeypot Exam Collector
1776592786.3437297,Keyboard,e,Honeypot Exam Collector
1776592786.809715,Keyboard,t,Honeypot Exam Collector
1776592787.0242336,Keyboard,Key.space,Honeypot Exam Collector
1776592788.028299,Keyboard,o,Honeypot Exam Collector
1776592788.359647,Keyboard,f,Honeypot Exam Collector
1776592788.5342968,Keyboard,f,Honeypot Exam Collector
1776592788.6860352,Keyboard,Key.space,Honeypot Exam Collector
1776592789.1425247,Keyboard,a,Honeypot Exam Collector
1776592789.4680092,Keyboard,n,Honeypot Exam Collector
1776592789.699341,Keyboard,Key.space,Honeypot Exam Collector
1776592790.32822,Keyboard,o,Honeypot Exam Collector
1776592790.7146409,Keyboard,b,Honeypot Exam Collector
1776592791.1201208,Keyboard,k,Honeypot Exam Collector
1776592791.7284536,Keyboard,Key.backspace,Honeypot Exam Collector
1776592792.175487,Keyboard,j,Honeypot Exam Collector
1776592792.3862262,Keyboard,e,Honeypot Exam Collector
1776592792.6636527,Keyboard,c,Honeypot Exam Collector
1776592792.9692729,Keyboard,t,Honeypot Exam Collector
1776592794.113323,Keyboard,Key.enter,Honeypot Exam Collector
1776592795.9658566,Keyboard,o,Honeypot Exam Collector
1776592796.287864,Keyboard,b,Honeypot Exam Collector
1776592796.582673,Keyboard,j,Honeypot Exam Collector
1776592796.8448544,Keyboard,e,Honeypot Exam Collector
1776592797.2302597,Keyboard,c,Honeypot Exam Collector
1776592797.5258603,Keyboard,t,Honeypot Exam Collector
1776592798.0723445,Keyboard,Key.shift_r,Honeypot Exam Collector
1776592798.5090861,Keyboard,:,Honeypot Exam Collector
1776592798.8910573,Keyboard,Key.space,Honeypot Exam Collector
1776592804.6555018,Keyboard,r,Honeypot Exam Collector
1776592804.8976722,Keyboard,e,Honeypot Exam Collector
1776592805.3141077,Keyboard,a,Honeypot Exam Collector
1776592805.6998837,Keyboard,l,Honeypot Exam Collector
1776592805.9616363,Keyboard,Key.space,Honeypot Exam Collector
1776592806.2368176,Keyboard,i,Honeypot Exam Collector
1776592806.4682136,Keyboard,n,Honeypot Exam Collector
1776592806.934625,Keyboard,t,Honeypot Exam Collector
1776592807.2498653,Keyboard,a,Honeypot Exam Collector
1776592807.7162492,Keyboard,n,Honeypot Exam Collector
1776592807.9679427,Keyboard,c,Honeypot Exam Collector
1776592808.2831407,Keyboard,e,Honeypot Exam Collector
1776592808.4375856,Keyboard,Key.space,Honeypot Exam Collector
1776592808.8710308,Keyboard,o,Honeypot Exam Collector
1776592809.2367911,Keyboard,f,Honeypot Exam Collector
1776592809.3979268,Keyboard,Key.space,Honeypot Exam Collector
1776592809.7137682,Keyboard,a,Honeypot Exam Collector
1776592810.2206624,Keyboard,n,Honeypot Exam Collector
1776592810.4723845,Keyboard,Key.space,Honeypot Exam Collector
1776592812.3969104,Keyboard,Key.backspace,Honeypot Exam Collector
1776592812.5509825,Keyboard,Key.backspace,Honeypot Exam Collector
1776592813.2802129,Keyboard,Key.space,Honeypot Exam Collector
1776592813.6060994,Keyboard,c,Honeypot Exam Collector
1776592813.8179514,Keyboard,l,Honeypot Exam Collector
1776592813.98918,Keyboard,a,Honeypot Exam Collector
1776592814.264279,Keyboard,s,Honeypot Exam Collector
1776592814.4963403,Keyboard,s,Honeypot Exam Collector
1776592814.619874,Keyboard,Key.space,Honeypot Exam Collector
1776592815.7436645,Keyboard,i,Honeypot Exam Collector
1776592815.9561813,Keyboard,n,Honeypot Exam Collector
1776592816.1507792,Keyboard,Key.space,Honeypot Exam Collector
1776592816.4131148,Keyboard,m,Honeypot Exam Collector
1776592816.627201,Keyboard,e,Honeypot Exam Collector
1776592816.8188121,Keyboard,m,Honeypot Exam Collector
1776592817.1340792,Keyboard,o,Honeypot Exam Collector
1776592817.4459155,Keyboard,r,Honeypot Exam Collector
1776592817.7004578,Keyboard,y,Honeypot Exam Collector
1776592818.6436021,Keyboard,Key.enter,Honeypot Exam Collector
1776592820.3896415,Mouse,Button.left,Honeypot Exam Collector
1776592835.5124395,Keyboard,a,Honeypot Exam Collector
1776592835.8993146,Keyboard,Key.space,Honeypot Exam Collector
1776592836.4477458,Keyboard,v,Honeypot Exam Collector
1776592836.803467,Keyboard,i,Honeypot Exam Collector
1776592837.239082,Keyboard,s,Honeypot Exam Collector
1776592837.582425,Keyboard,u,Honeypot Exam Collector
1776592838.374422,Keyboard,l,Honeypot Exam Collector
1776592842.5257065,Keyboard,Key.backspace,Honeypot Exam Collector
1776592842.9227085,Keyboard,a,Honeypot Exam Collector
1776592843.1852596,Keyboard,l,Honeypot Exam Collector
1776592843.4398906,Keyboard,Key.space,Honeypot Exam Collector
1776592844.619157,Keyboard,m,Honeypot Exam Collector
1776592844.9436486,Keyboard,e,Honeypot Exam Collector
1776592845.5404892,Keyboard,t,Honeypot Exam Collector
1776592845.682681,Keyboard,h,Honeypot Exam Collector
1776592845.9981744,Keyboard,o,Honeypot Exam Collector
1776592846.4842088,Keyboard,d,Honeypot Exam Collector
1776592847.071312,Keyboard,Key.space,Honeypot Exam Collector
1776592847.769367,Keyboard,u,Honeypot Exam Collector
1776592848.0552824,Keyboard,s,Honeypot Exam Collector
1776592848.3606796,Keyboard,e,Honeypot Exam Collector
1776592848.7133973,Keyboard,Key.space,Honeypot Exam Collector
1776592849.5046542,Keyboard,t,Honeypot Exam Collector
1776592849.7667675,Keyboard,o,Honeypot Exam Collector
1776592850.0427864,Keyboard,Key.space,Honeypot Exam Collector
1776592850.6700833,Keyboard,s,Honeypot Exam Collector
1776592851.8691266,Keyboard,i,Honeypot Exam Collector
