Timestamp,Event_Type,Key_Button,Active_Window
1775466878.3643446,Mouse,Button.left,Honeypot Exam Collector
1775466878.9838839,Keyboard,Key.shift,Honeypot Exam Collector
1775466879.2492301,Keyboard,A,Honeypot Exam Collector
1775466879.592163,Keyboard,Key.space,Honeypot Exam Collector
1775466879.918476,Keyboard,d,Honeypot Exam Collector
1775466880.070736,Keyboard,i,Honeypot Exam Collector
1775466880.2643948,Keyboard,g,Honeypot Exam Collector
1775466880.3789592,Keyboard,i,Honeypot Exam Collector
1775466880.5356529,Keyboard,t,Honeypot Exam Collector
1775466880.7705684,Keyboard,a,Honeypot Exam Collector
1775466880.925058,Keyboard,l,Honeypot Exam Collector
1775466881.1025786,Keyboard,Key.space,Honeypot Exam Collector
1775466881.246853,Keyboard,i,Honeypot Exam Collector
1775466881.4586153,Keyboard,m,Honeypot Exam Collector
1775466881.5692887,Keyboard,a,Honeypot Exam Collector
1775466881.783557,Keyboard,g,Honeypot Exam Collector
1775466881.9549239,Keyboard,e,Honeypot Exam Collector
1775466882.1359665,Keyboard,Key.space,Honeypot Exam Collector
1775466882.3002908,Keyboard,i,Honeypot Exam Collector
1775466882.4414783,Keyboard,s,Honeypot Exam Collector
1775466882.697126,Keyboard,Key.space,Honeypot Exam Collector
1775466883.7920568,Keyboard,a,Honeypot Exam Collector
1775466887.45974,Keyboard,Key.space,Honeypot Exam Collector
1775466887.905826,Keyboard,i,Honeypot Exam Collector
1775466888.1275792,Keyboard,m,Honeypot Exam Collector
1775466888.2321672,Keyboard,a,Honeypot Exam Collector
1775466888.4928582,Keyboard,g,Honeypot Exam Collector
1775466888.6842525,Keyboard,e,Honeypot Exam Collector
1775466888.8480814,Keyboard,Key.space,Honeypot Exam Collector
1775466889.020061,Keyboard,t,Honeypot Exam Collector
1775466889.1309268,Keyboard,h,Honeypot Exam Collector
1775466889.2541025,Keyboard,a,Honeypot Exam Collector
1775466889.5060048,Keyboard,t,Honeypot Exam Collector
1775466889.667047,Keyboard,Key.space,Honeypot Exam Collector
1775466889.8528118,Keyboard,c,Honeypot Exam Collector
1775466890.003602,Keyboard,o,Honeypot Exam Collector
1775466890.2052662,Keyboard,n,Honeypot Exam Collector
1775466890.3690631,Keyboard,s,Honeypot Exam Collector
1775466890.5514274,Keyboard,i,Honeypot Exam Collector
1775466890.641088,Keyboard,s,Honeypot Exam Collector
1775466890.8656836,Keyboard,t,Honeypot Exam Collector
1775466891.077541,Keyboard,s,Honeypot Exam Collector
1775466891.2722425,Keyboard,Key.space,Honeypot Exam Collector
1775466891.5336168,Keyboard,o,Honeypot Exam Collector
1775466891.6251388,Keyboard,f,Honeypot Exam Collector
1775466891.7981539,Keyboard,Key.space,Honeypot Exam Collector
1775466891.9392774,Keyboard,m,Honeypot Exam Collector
1775466892.1911685,Keyboard,u,Honeypot Exam Collector
1775466892.4565506,Keyboard,l,Honeypot Exam Collector
1775466892.6268017,Keyboard,t,Honeypot Exam Collector
1775466892.7816615,Keyboard,i,Honeypot Exam Collector
1775466893.0130112,Keyboard,p,Honeypot Exam Collector
1775466893.1838987,Keyboard,l,Honeypot Exam Collector
1775466893.3079865,Keyboard,e,Honeypot Exam Collector
1775466893.422141,Keyboard,Key.space,Honeypot Exam Collector
1775466893.5294178,Keyboard,p,Honeypot Exam Collector
1775466893.765259,Keyboard,i,Honeypot Exam Collector
1775466893.8882997,Keyboard,x,Honeypot Exam Collector
1775466894.0885935,Keyboard,e,Honeypot Exam Collector
1775466894.2615838,Keyboard,l,Honeypot Exam Collector
1775466894.392468,Keyboard,s,Honeypot Exam Collector
1775466894.69458,Keyboard,o,Honeypot Exam Collector
1775466895.1315215,Keyboard,Key.backspace,Honeypot Exam Collector
1775466895.557433,Keyboard,Key.space,Honeypot Exam Collector
1775466895.7390685,Keyboard,o,Honeypot Exam Collector
1775466895.8642128,Keyboard,f,Honeypot Exam Collector
1775466896.0448182,Keyboard,Key.space,Honeypot Exam Collector
1775466896.2162294,Keyboard,d,Honeypot Exam Collector
1775466896.3410888,Keyboard,i,Honeypot Exam Collector
1775466896.481176,Keyboard,f,Honeypot Exam Collector
1775466896.6422107,Keyboard,f,Honeypot Exam Collector
1775466896.8466554,Keyboard,e,Honeypot Exam Collector
1775466897.0480978,Keyboard,r,Honeypot Exam Collector
1775466897.1789527,Keyboard,e,Honeypot Exam Collector
1775466897.323541,Keyboard,n,Honeypot Exam Collector
1775466897.4640768,Keyboard,t,Honeypot Exam Collector
1775466897.665475,Keyboard,Key.space,Honeypot Exam Collector
1775466897.9321449,Keyboard,i,Honeypot Exam Collector
1775466898.1428287,Keyboard,n,Honeypot Exam Collector
1775466898.2737267,Keyboard,t,Honeypot Exam Collector
1775466898.4480317,Keyboard,e,Honeypot Exam Collector
1775466898.578918,Keyboard,n,Honeypot Exam Collector
1775466898.7103946,Keyboard,s,Honeypot Exam Collector
1775466898.8848443,Keyboard,i,Honeypot Exam Collector
1775466899.0460782,Keyboard,t,Honeypot Exam Collector
1775466899.2174492,Keyboard,y,Honeypot Exam Collector
1775466899.4319124,Keyboard,Key.space,Honeypot Exam Collector
1775466899.673678,Keyboard,a,Honeypot Exam Collector
1775466899.8598611,Keyboard,n,Honeypot Exam Collector
1775466899.9503927,Keyboard,d,Honeypot Exam Collector
1775466900.142039,Keyboard,Key.space,Honeypot Exam Collector
1775466900.305977,Keyboard,l,Honeypot Exam Collector
1775466900.842644,Keyboard,Key.backspace,Honeypot Exam Collector
1775466902.2932217,Keyboard,c,Honeypot Exam Collector
1775466902.477398,Keyboard,o,Honeypot Exam Collector
1775466902.6791558,Keyboard,l,Honeypot Exam Collector
1775466902.8945634,Keyboard,o,Honeypot Exam Collector
1775466902.9753163,Keyboard,r,Honeypot Exam Collector
1775466903.3070533,Keyboard,s,Honeypot Exam Collector
1775466904.1087632,Keyboard,.,Honeypot Exam Collector
1775466904.77655,Keyboard,Key.space,Honeypot Exam Collector
1775466906.904579,Mouse,Button.left,Honeypot Exam Collector
1775466908.7003713,Keyboard,Key.shift,Honeypot Exam Collector
1775466908.9251683,Keyboard,I,Honeypot Exam Collector
1775466909.156149,Keyboard,n,Honeypot Exam Collector
1775466909.3816369,Keyboard,Key.space,Honeypot Exam Collector
1775466909.8339827,Keyboard,Key.backspace,Honeypot Exam Collector
1775466910.1016984,Keyboard,h,Honeypot Exam Collector
1775466910.2724566,Keyboard,e,Honeypot Exam Collector
1775466910.436388,Keyboard,r,Honeypot Exam Collector
1775466910.5873606,Keyboard,i,Honeypot Exam Collector
1775466910.759095,Keyboard,t,Honeypot Exam Collector
1775466911.1543193,Keyboard,e,Honeypot Exam Collector
1775466911.3560526,Keyboard,n,Honeypot Exam Collector
1775466911.5201147,Keyboard,c,Honeypot Exam Collector
1775466912.0784347,Keyboard,e,Honeypot Exam Collector
1775466912.2089353,Keyboard,Key.space,Honeypot Exam Collector
1775466912.3946369,Keyboard,i,Honeypot Exam Collector
1775466912.5148551,Keyboard,s,Honeypot Exam Collector
1775466912.6963022,Keyboard,Key.space,Honeypot Exam Collector
1775466912.9719155,Keyboard,t,Honeypot Exam Collector
1775466913.4478302,Keyboard,h,Honeypot Exam Collector
1775466913.5685337,Keyboard,e,Honeypot Exam Collector
1775466913.7801123,Keyboard,Key.space,Honeypot Exam Collector
1775466915.173719,Keyboard,p,Honeypot Exam Collector
1775466915.2948833,Keyboard,a,Honeypot Exam Collector
1775466915.4889042,Keyboard,r,Honeypot Exam Collector
1775466915.7009823,Keyboard,t,Honeypot Exam Collector
1775466915.851794,Keyboard,Key.space,Honeypot Exam Collector
1775466915.9867005,Keyboard,o,Honeypot Exam Collector
1775466916.0774736,Keyboard,f,Honeypot Exam Collector
1775466916.2179787,Keyboard,Key.space,Honeypot Exam Collector
1775466916.3691924,Keyboard,o,Honeypot Exam Collector
1775466916.5332859,Keyboard,o,Honeypot Exam Collector
1775466916.7345495,Keyboard,p,Honeypot Exam Collector
1775466916.87558,Keyboard,Key.space,Honeypot Exam Collector
1775466917.059938,Keyboard,w,Honeypot Exam Collector
1775466917.1710765,Keyboard,h,Honeypot Exam Collector
1775466917.3122275,Keyboard,e,Honeypot Exam Collector
1775466917.4558835,Keyboard,r,Honeypot Exam Collector
1775466917.6071074,Keyboard,e,Honeypot Exam Collector
1775466917.777903,Keyboard,Key.space,Honeypot Exam Collector
1775466917.9430752,Keyboard,i,Honeypot Exam Collector
1775466918.0531802,Keyboard,t,Honeypot Exam Collector
1775466918.2040823,Keyboard,Key.space,Honeypot Exam Collector
1775466918.415776,Keyboard,d,Honeypot Exam Collector
1775466918.620202,Keyboard,e,Honeypot Exam Collector
1775466918.8022668,Keyboard,n,Honeypot Exam Collector
1775466919.0255382,Keyboard,o,Honeypot Exam Collector
1775466919.1670237,Keyboard,t,Honeypot Exam Collector
1775466919.3783674,Keyboard,e,Honeypot Exam Collector
1775466919.6030827,Keyboard,s,Honeypot Exam Collector
1775466919.8241453,Keyboard,Key.space,Honeypot Exam Collector
1775466920.8805404,Keyboard,t,Honeypot Exam Collector
1775466921.054359,Keyboard,h,Honeypot Exam Collector
1775466921.2354913,Keyboard,a,Honeypot Exam Collector
1775466921.460105,Keyboard,t,Honeypot Exam Collector
1775466921.621082,Keyboard,Key.space,Honeypot Exam Collector
1775466921.7830822,Keyboard,a,Honeypot Exam Collector
1775466921.976779,Keyboard,n,Honeypot Exam Collector
1775466922.0972974,Keyboard,Key.space,Honeypot Exam Collector
1775466922.3098738,Keyboard,o,Honeypot Exam Collector
1775466922.5539744,Keyboard,b,Honeypot Exam Collector
1775466922.7958062,Keyboard,j,Honeypot Exam Collector
1775466922.9061205,Keyboard,e,Honeypot Exam Collector
1775466923.0919423,Keyboard,c,Honeypot Exam Collector
1775466923.333182,Keyboard,t,Honeypot Exam Collector
1775466923.487102,Keyboard,Key.space,Honeypot Exam Collector
1775466923.6386306,Keyboard,o,Honeypot Exam Collector
1775466923.7695684,Keyboard,r,Honeypot Exam Collector
1775466923.8899858,Keyboard,Key.space,Honeypot Exam Collector
1775466924.0960178,Keyboard,f,Honeypot Exam Collector
1775466924.2670085,Keyboard,u,Honeypot Exam Collector
1775466924.472227,Keyboard,n,Honeypot Exam Collector
1775466924.682904,Keyboard,c,Honeypot Exam Collector
1775466924.9773211,Keyboard,t,Honeypot Exam Collector
1775466925.0591362,Keyboard,i,Honeypot Exam Collector
1775466925.2411525,Keyboard,o,Honeypot Exam Collector
1775466925.4323816,Keyboard,n,Honeypot Exam Collector
1775466925.55595,Keyboard,Key.space,Honeypot Exam Collector
1775466925.7472565,Keyboard,i,Honeypot Exam Collector
1775466926.0534556,Keyboard,Key.space,Honeypot Exam Collector
1775466926.1941438,Keyboard,p,Honeypot Exam Collector
1775466926.5507658,Keyboard,Key.backspace,Honeypot Exam Collector
1775466926.7021036,Keyboard,Key.backspace,Honeypot Exam Collector
1775466926.883262,Keyboard,s,Honeypot Exam Collector
1775466927.057489,Keyboard,Key.space,Honeypot Exam Collector
1775466927.4602687,Keyboard,u,Honeypot Exam Collector
1775466927.675073,Keyboard,s,Honeypot Exam Collector
1775466927.7956405,Keyboard,u,Honeypot Exam Collector
1775466927.9672592,Keyboard,a,Honeypot Exam Collector
1775466928.1632314,Keyboard,l,Honeypot Exam Collector
1775466928.304397,Keyboard,l,Honeypot Exam Collector
1775466928.6099973,Keyboard,y,Honeypot Exam Collector
1775466928.8017693,Keyboard,Key.space,Honeypot Exam Collector
1775466928.9260614,Keyboard,p,Honeypot Exam Collector
1775466929.076405,Keyboard,a,Honeypot Exam Collector
1775466929.308476,Keyboard,r,Honeypot Exam Collector
1775466929.522848,Keyboard,t,Honeypot Exam Collector
1775466929.6638055,Keyboard,Key.space,Honeypot Exam Collector
1775466929.8451138,Keyboard,o,Honeypot Exam Collector
1775466929.9155698,Keyboard,f,Honeypot Exam Collector
1775466930.081433,Keyboard,Key.space,Honeypot Exam Collector
1775466930.2732832,Keyboard,a,Honeypot Exam Collector
1775466930.444215,Keyboard,n,Honeypot Exam Collector
1775466930.6789756,Keyboard,o,Honeypot Exam Collector
1775466930.8298457,Keyboard,t,Honeypot Exam Collector
1775466930.9713848,Keyboard,h,Honeypot Exam Collector
1775466931.0748842,Keyboard,e,Honeypot Exam Collector
1775466931.175578,Keyboard,r,Honeypot Exam Collector
1775466931.2860346,Keyboard,Key.space,Honeypot Exam Collector
1775466931.3909664,Keyboard,o,Honeypot Exam Collector
1775466931.6220386,Keyboard,b,Honeypot Exam Collector
1775466931.8731656,Keyboard,j,Honeypot Exam Collector
1775466932.0042157,Keyboard,e,Honeypot Exam Collector
1775466932.2392342,Keyboard,c,Honeypot Exam Collector
1775466932.471294,Keyboard,t,Honeypot Exam Collector
1775466932.6145372,Keyboard,Key.space,Honeypot Exam Collector
1775466932.7961411,Keyboard,o,Honeypot Exam Collector
1775466932.896611,Keyboard,r,Honeypot Exam Collector
1775466932.9972723,Keyboard,Key.space,Honeypot Exam Collector
1775466933.1925397,Keyboard,f,Honeypot Exam Collector
1775466933.3636093,Keyboard,u,Honeypot Exam Collector
1775466933.5680714,Keyboard,n,Honeypot Exam Collector
1775466933.769798,Keyboard,c,Honeypot Exam Collector
1775466934.0445635,Keyboard,t,Honeypot Exam Collector
1775466934.1665456,Keyboard,i,Honeypot Exam Collector
1775466934.3479044,Keyboard,o,Honeypot Exam Collector
1775466934.592705,Keyboard,n,Honeypot Exam Collector
1775466935.492127,Keyboard,.,Honeypot Exam Collector
1775466937.5514753,Mouse,Button.left,Honeypot Exam Collector
1775466940.1754675,Mouse,Button.left,what is For loop - Google Search - Google Chrome
1775466940.8094351,Keyboard,i,what is For loop - Google Search - Google Chrome
1775466941.051519,Keyboard,m,what is For loop - Google Search - Google Chrome
1775466941.8834515,Keyboard,Key.backspace,what is For loop - Google Search - Google Chrome
1775466942.2198353,Keyboard,n,what is For loop - Google Search - Google Chrome
1775466942.5116014,Keyboard,h,what is For loop - Google Search - Google Chrome
1775466942.6754181,Keyboard,e,what is For loop - Google Search - Google Chrome
