Timestamp,Frame,Face_Detected,Pitch,Yaw,Roll,Gaze_X,Gaze_Y
1775543331.993,0,1,21.97,-5.52,-177.78,0.5505,0.6937
1775543332.043,1,1,22.02,-3.80,-177.92,0.5501,0.6940
1775543332.093,2,1,22.32,2.51,-178.63,0.5498,0.6948
1775543332.143,3,1,21.77,1.80,-178.46,0.5498,0.6937
1775543332.193,4,1,21.73,1.96,-178.45,0.5498,0.6936
1775543332.243,5,1,21.87,1.36,-178.36,0.5499,0.6935
1775543332.293,6,1,21.99,0.08,-178.17,0.5499,0.6935
1775543332.343,7,1,22.02,-0.54,-178.06,0.5499,0.6934
1775543332.393,8,1,21.99,-0.68,-178.06,0.5499,0.6934
1775543332.443,9,1,21.95,-0.47,-178.10,0.5499,0.6934
1775543332.493,10,1,21.95,-0.56,-178.10,0.5499,0.6934
1775543332.543,11,1,21.94,-0.55,-178.11,0.5499,0.6934
1775543332.593,12,1,21.28,5.26,-179.08,0.5497,0.6935
1775543332.643,13,1,21.96,3.16,-178.76,0.5494,0.6932
1775543332.693,14,1,22.17,2.52,-178.68,0.5493,0.6930
1775543332.743,15,1,22.59,-3.41,-177.59,0.5491,0.6922
1775543332.793,16,1,22.24,-0.52,-178.14,0.5490,0.6908
1775543332.843,17,1,21.49,4.02,-179.09,0.5489,0.6883
1775543332.893,18,1,21.42,1.55,-178.67,0.5488,0.6868
1775543332.943,19,1,21.71,1.92,-178.78,0.5486,0.6870
1775543332.993,20,1,21.54,4.98,-179.25,0.5481,0.6867
1775543333.043,21,1,21.12,3.89,-179.21,0.5481,0.6854
1775543333.093,22,1,20.63,4.65,-179.35,0.5481,0.6841
1775543333.143,23,1,21.32,-2.52,-178.34,0.5480,0.6837
1775543333.193,24,1,20.38,-8.62,-177.31,0.5480,0.6828
1775543333.243,25,1,20.00,-6.58,-177.29,0.5476,0.6792
1775543333.293,26,1,19.64,-1.68,-177.55,0.5464,0.6736
1775543333.343,27,1,20.36,0.60,-177.94,0.5456,0.6711
1775543333.393,28,1,18.78,0.42,-178.34,0.5452,0.6667
1775543333.443,29,1,18.26,0.75,-178.47,0.5450,0.6645
1775543333.493,30,1,18.11,0.59,-178.39,0.5451,0.6631
1775543333.543,31,1,17.87,5.15,-178.72,0.5456,0.6617
1775543333.593,32,1,17.92,2.82,-178.28,0.5469,0.6605
1775543333.643,33,1,18.91,-3.79,-177.16,0.5496,0.6610
