Timestamp,Frame,Face_Detected,Pitch,Yaw,Roll,Gaze_X,Gaze_Y
1775546391.929,0,1,-0.52,-1.32,3.18,0.5277,0.5907
1775546391.979,1,1,-0.63,-1.72,3.17,0.5280,0.5906
1775546392.029,2,1,-0.66,-1.86,3.14,0.5280,0.5908
1775546392.079,3,1,-0.71,-1.84,3.09,0.5280,0.5908
1775546392.129,4,1,-0.74,-1.83,3.07,0.5280,0.5909
1775546392.179,5,1,-0.76,-1.81,3.05,0.5281,0.5909
1775546392.229,6,1,-0.77,-1.79,3.03,0.5281,0.5910
1775546392.279,7,1,-0.80,-1.79,3.02,0.5281,0.5910
1775546392.329,8,1,-0.81,-1.79,3.01,0.5281,0.5911
1775546392.379,9,1,-0.80,-1.79,3.01,0.5281,0.5911
1775546392.429,10,1,-0.44,-1.26,2.88,0.5273,0.5919
1775546392.479,11,1,-0.54,-1.07,2.76,0.5270,0.5919
1775546392.529,12,1,-0.48,-1.28,2.68,0.5268,0.5921
1775546392.579,13,1,-0.77,-1.47,2.75,0.5268,0.5916
1775546392.629,14,1,-0.63,-1.86,2.69,0.5266,0.5916
1775546392.679,15,1,-0.49,-1.96,2.80,0.5264,0.5914
1775546392.729,16,1,-0.70,-2.31,2.76,0.5264,0.5908
1775546392.779,17,1,-1.00,-2.02,2.77,0.5263,0.5901
1775546392.829,18,1,-0.95,-1.80,2.72,0.5263,0.5896
1775546392.879,19,1,-1.04,-1.49,2.69,0.5262,0.5891
1775546392.929,20,1,-1.20,-1.36,2.63,0.5262,0.5885
1775546392.979,21,1,-1.23,-1.38,2.66,0.5262,0.5882
1775546393.029,22,1,-1.06,-1.34,2.72,0.5262,0.5882
1775546393.079,23,1,-1.04,-1.13,2.63,0.5261,0.5883
1775546393.129,24,1,-0.86,-1.13,2.61,0.5263,0.5884
1775546393.179,25,1,-0.38,-1.50,2.65,0.5265,0.5891
1775546393.229,26,1,-0.28,-1.68,2.69,0.5267,0.5892
1775546393.279,27,1,-0.14,-1.73,2.74,0.5270,0.5892
1775546393.329,28,1,-0.35,-1.62,2.82,0.5272,0.5888
1775546393.379,29,1,-0.52,-1.47,2.95,0.5273,0.5883
1775546393.429,30,1,-0.66,-1.79,2.99,0.5275,0.5879
1775546393.479,31,1,-0.93,-1.75,2.98,0.5275,0.5874
1775546393.529,32,1,-0.91,-1.85,2.97,0.5275,0.5872
1775546393.579,33,1,-1.50,-1.92,2.99,0.5273,0.5849
1775546393.629,34,1,-3.02,-1.87,2.99,0.5272,0.5802
1775546393.679,35,1,-3.15,-1.90,2.89,0.5271,0.5771
1775546393.729,36,1,-2.65,-0.99,2.45,0.5271,0.5703
1775546393.779,37,1,-3.00,-0.52,2.55,0.5268,0.5649
1775546393.829,38,1,-3.22,0.17,2.70,0.5263,0.5580
1775546393.879,39,1,-5.98,1.46,2.44,0.5251,0.5401
1775546393.929,40,1,-7.24,1.68,2.46,0.5248,0.5295
1775546393.979,41,1,-8.79,2.61,2.41,0.5246,0.5128
1775546394.029,42,1,-9.49,3.13,2.02,0.5241,0.4965
1775546394.079,43,1,-10.44,2.44,1.62,0.5238,0.4877
1775546394.129,44,1,-11.22,2.31,0.86,0.5228,0.4772
1775546394.179,45,1,-11.20,2.86,0.37,0.5219,0.4728
1775546394.229,46,1,-11.79,3.05,0.08,0.5216,0.4690
1775546394.279,47,1,-11.36,3.09,0.18,0.5214,0.4668
1775546394.329,48,1,-11.06,2.17,0.37,0.5219,0.4674
1775546394.379,49,1,-10.02,0.75,0.57,0.5241,0.4706
1775546394.429,50,1,-10.48,0.68,0.68,0.5265,0.4716
1775546394.479,51,1,-10.39,1.13,0.83,0.5273,0.4737
1775546394.529,52,1,0.51,0.40,0.11,0.5286,0.4895
1775546394.579,53,1,-1.16,1.04,0.78,0.5283,0.4922
1775546394.629,54,1,1.63,2.45,1.53,0.5280,0.5025
1775546394.679,55,1,0.94,1.34,1.99,0.5303,0.5089
1775546394.729,56,1,1.95,0.47,2.51,0.5321,0.5135
1775546394.779,57,1,1.22,0.55,3.00,0.5322,0.5173
1775546394.829,58,1,1.85,1.30,2.71,0.5316,0.5190
1775546394.879,59,1,3.08,-2.68,1.61,0.5356,0.5219
1775546394.929,60,1,2.23,-1.34,1.62,0.5347,0.5198
1775546394.979,61,1,2.72,-1.66,1.51,0.5348,0.5207
1775546395.029,62,1,2.17,-1.91,1.56,0.5346,0.5214
1775546395.079,63,1,0.21,-1.93,1.60,0.5344,0.5203
1775546395.129,64,1,-0.30,-1.70,1.65,0.5339,0.5197
1775546395.179,65,1,-0.42,-1.68,1.43,0.5340,0.5193
1775546395.229,66,1,1.51,-1.47,2.88,0.5323,0.5192
1775546395.279,67,1,1.48,-1.18,2.91,0.5320,0.5196
1775546395.329,68,1,1.32,-1.10,2.99,0.5321,0.5198
1775546395.379,69,1,1.16,-1.88,3.18,0.5329,0.5199
1775546395.429,70,1,1.00,-1.99,3.41,0.5330,0.5201
1775546395.479,71,1,0.75,-2.13,3.63,0.5332,0.5204
1775546395.529,72,1,0.68,-1.66,3.97,0.5335,0.5209
1775546395.579,73,1,0.40,-2.07,4.35,0.5343,0.5210
1775546395.629,74,1,0.11,-1.82,4.86,0.5344,0.5219
1775546395.679,75,1,0.11,-2.02,5.18,0.5349,0.5230
1775546395.729,76,1,0.90,-2.34,4.84,0.5352,0.5272
1775546395.779,77,1,1.50,-2.52,4.22,0.5355,0.5306
1775546395.829,78,1,2.06,-2.75,3.83,0.5358,0.5332
1775546395.879,79,1,1.92,-2.65,3.23,0.5359,0.5348
1775546395.929,80,1,1.64,-2.42,3.03,0.5362,0.5353
1775546395.979,81,1,1.43,-2.55,3.33,0.5370,0.5360
1775546396.029,82,1,1.57,-2.38,3.57,0.5384,0.5383
1775546396.079,83,1,1.83,-2.28,3.73,0.5397,0.5398
1775546396.129,84,1,2.44,-3.14,3.75,0.5400,0.5430
1775546396.179,85,1,2.41,-2.88,3.76,0.5397,0.5439
1775546396.229,86,1,2.46,-3.23,3.67,0.5396,0.5454
1775546396.279,87,1,1.91,-1.76,3.15,0.5378,0.5458
1775546396.329,88,1,2.37,-0.38,2.81,0.5359,0.5463
1775546396.379,89,1,2.29,-0.46,2.58,0.5347,0.5466
