Timestamp,Event_Type,Key_Button,Active_Window
1775462535.942808,Mouse,Button.left,Honeypot Exam Collector
1775462536.843269,Keyboard,d,Honeypot Exam Collector
1775462537.0646613,Keyboard,i,Honeypot Exam Collector
1775462537.3997848,Keyboard,g,Honeypot Exam Collector
1775462537.5609524,Keyboard,i,Honeypot Exam Collector
1775462537.845823,Keyboard,t,Honeypot Exam Collector
1775462538.077594,Keyboard,a,Honeypot Exam Collector
1775462538.3526714,Keyboard,l,Honeypot Exam Collector
1775462538.8792093,Keyboard,Key.space,Honeypot Exam Collector
1775462539.1755514,Keyboard,i,Honeypot Exam Collector
1775462539.3766978,Keyboard,m,Honeypot Exam Collector
1775462539.631556,Keyboard,a,Honeypot Exam Collector
1775462539.8528845,Keyboard,g,Honeypot Exam Collector
1775462540.1078966,Keyboard,e,Honeypot Exam Collector
1775462540.2701325,Keyboard,Key.space,Honeypot Exam Collector
1775462540.58286,Keyboard,i,Honeypot Exam Collector
1775462541.1120875,Keyboard,s,Honeypot Exam Collector
1775462541.3636763,Keyboard,Key.space,Honeypot Exam Collector
1775462541.7600152,Keyboard,t,Honeypot Exam Collector
1775462541.9307234,Keyboard,h,Honeypot Exam Collector
1775462542.0817728,Keyboard,e,Honeypot Exam Collector
1775462542.236643,Keyboard,Key.space,Honeypot Exam Collector
1775462542.3980124,Keyboard,r,Honeypot Exam Collector
1775462542.56916,Keyboard,e,Honeypot Exam Collector
1775462542.7837133,Keyboard,p,Honeypot Exam Collector
1775462542.944975,Keyboard,r,Honeypot Exam Collector
1775462543.129027,Keyboard,e,Honeypot Exam Collector
1775462543.4312763,Keyboard,s,Honeypot Exam Collector
1775462543.6458871,Keyboard,e,Honeypot Exam Collector
1775462543.827487,Keyboard,m,Honeypot Exam Collector
1775462546.2697058,Keyboard,Key.backspace,Honeypot Exam Collector
1775462546.7861679,Keyboard,n,Honeypot Exam Collector
1775462547.0375454,Keyboard,t,Honeypot Exam Collector
1775462547.233092,Keyboard,a,Honeypot Exam Collector
1775462547.3841536,Keyboard,t,Honeypot Exam Collector
1775462547.6792564,Keyboard,i,Honeypot Exam Collector
1775462547.8402972,Keyboard,o,Honeypot Exam Collector
1775462548.1024575,Keyboard,n,Honeypot Exam Collector
1775462548.267085,Keyboard,Key.space,Honeypot Exam Collector
1775462548.4890194,Keyboard,o,Honeypot Exam Collector
1775462548.7437668,Keyboard,f,Honeypot Exam Collector
1775462548.9353063,Keyboard,Key.space,Honeypot Exam Collector
1775462550.256224,Keyboard,t,Honeypot Exam Collector
1775462550.669499,Keyboard,w,Honeypot Exam Collector
1775462550.9341161,Keyboard,o,Honeypot Exam Collector
1775462551.1654253,Keyboard,Key.space,Honeypot Exam Collector
1775462551.4114597,Keyboard,d,Honeypot Exam Collector
1775462551.6432605,Keyboard,i,Honeypot Exam Collector
1775462551.857774,Keyboard,m,Honeypot Exam Collector
1775462552.0390394,Keyboard,e,Honeypot Exam Collector
1775462552.2331972,Keyboard,n,Honeypot Exam Collector
1775462552.4657485,Keyboard,s,Honeypot Exam Collector
1775462552.6469917,Keyboard,i,Honeypot Exam Collector
1775462553.1982453,Keyboard,o,Honeypot Exam Collector
