Timestamp,Frame,Face_Detected,Pitch,Yaw,Roll,Gaze_X,Gaze_Y
1775462532.888,0,1,10.16,-1.71,3.27,0.5348,0.5106
1775462532.938,1,1,8.57,-3.11,3.11,0.5347,0.5116
1775462532.988,2,1,8.07,-4.09,2.95,0.5340,0.5136
1775462533.038,3,1,7.51,-4.30,2.95,0.5337,0.5134
1775462533.088,4,1,7.33,-4.33,3.02,0.5337,0.5133
1775462533.138,5,1,7.17,-4.49,3.08,0.5338,0.5132
1775462533.188,6,1,7.15,-4.57,3.09,0.5339,0.5132
1775462533.238,7,1,7.08,-4.73,3.10,0.5339,0.5132
1775462533.288,8,1,7.07,-4.77,3.09,0.5339,0.5132
1775462533.338,9,1,7.04,-4.84,3.09,0.5340,0.5131
1775462533.388,10,1,7.03,-4.91,3.09,0.5340,0.5131
1775462533.438,11,1,7.00,-4.99,3.09,0.5340,0.5131
1775462533.488,12,1,6.14,-5.25,2.85,0.5342,0.5103
1775462533.538,13,1,6.06,-5.38,2.73,0.5341,0.5097
1775462533.588,14,1,6.16,-5.08,2.94,0.5328,0.5084
1775462533.638,15,1,5.71,-3.12,2.85,0.5306,0.5040
1775462533.688,16,1,5.50,-3.81,2.78,0.5302,0.5011
1775462533.738,17,1,5.06,-3.33,2.53,0.5296,0.4979
1775462533.788,18,1,6.08,-2.32,2.63,0.5291,0.4956
1775462533.838,19,1,6.39,-3.11,2.67,0.5293,0.4957
1775462533.888,20,1,6.98,-2.84,2.78,0.5292,0.4961
1775462533.938,21,1,6.94,-2.93,2.83,0.5293,0.4950
1775462533.988,22,1,7.24,-2.82,2.92,0.5294,0.4937
1775462534.038,23,1,6.87,-2.85,2.97,0.5295,0.4921
1775462534.088,24,1,4.74,-3.04,2.83,0.5292,0.4877
1775462534.138,25,1,4.67,-3.92,3.53,0.5292,0.4871
1775462534.188,26,1,4.74,-4.27,3.63,0.5284,0.4871
1775462534.238,27,1,4.80,-5.26,3.57,0.5282,0.4875
1775462534.288,28,1,4.82,-3.25,3.09,0.5269,0.4880
1775462534.338,29,1,4.81,-2.35,2.70,0.5261,0.4886
1775462534.388,30,1,4.14,-3.33,3.01,0.5257,0.4908
1775462534.438,31,1,7.67,-3.53,2.43,0.5250,0.4955
1775462534.488,32,1,8.94,-4.98,2.28,0.5253,0.4976
1775462534.538,33,1,10.71,-3.64,2.49,0.5248,0.4995
1775462534.588,34,1,9.53,1.77,2.33,0.5203,0.4982
1775462534.638,35,1,4.93,-1.18,2.07,0.5215,0.4978
1775462534.688,36,1,5.26,-1.99,2.16,0.5219,0.4982
1775462534.738,37,1,5.57,-1.85,2.13,0.5215,0.4984
1775462534.788,38,1,5.26,-2.32,2.18,0.5215,0.4982
1775462534.838,39,1,4.94,-3.59,2.28,0.5227,0.4981
1775462534.888,40,1,4.32,-3.71,2.49,0.5230,0.4985
1775462534.938,41,1,5.00,-3.99,2.87,0.5244,0.5005
1775462534.988,42,1,5.35,-3.25,2.55,0.5257,0.5038
1775462535.038,43,1,4.84,-2.77,2.61,0.5268,0.5052
1775462535.088,44,1,5.86,-4.08,2.45,0.5296,0.5102
1775462535.138,45,1,5.50,-4.27,2.42,0.5311,0.5122
1775462535.188,46,1,5.92,-4.59,2.17,0.5341,0.5156
1775462535.238,47,1,6.27,-5.63,2.26,0.5357,0.5176
1775462535.288,48,1,6.41,-4.81,2.80,0.5395,0.5182
1775462535.338,49,1,7.23,-5.64,2.84,0.5422,0.5204
1775462535.388,50,1,7.51,-4.43,2.77,0.5453,0.5212
1775462535.438,51,1,8.09,-4.12,2.96,0.5471,0.5234
1775462535.488,52,1,9.50,-5.32,3.64,0.5490,0.5280
1775462535.538,53,1,10.22,-5.18,4.04,0.5494,0.5324
1775462535.588,54,1,9.89,-4.84,4.11,0.5491,0.5346
1775462535.638,55,1,9.75,-5.03,4.10,0.5487,0.5379
1775462535.688,56,1,10.72,-4.76,4.08,0.5487,0.5402
1775462535.738,57,1,11.00,-4.79,3.93,0.5482,0.5419
1775462535.788,58,1,16.38,-9.86,-175.04,0.5478,0.5444
1775462535.838,59,1,16.68,-10.35,-174.77,0.5477,0.5461
1775462535.888,60,1,17.52,-7.41,-175.52,0.5459,0.5459
1775462535.938,61,1,18.18,-5.51,-175.73,0.5436,0.5454
1775462535.988,62,1,13.64,-1.56,3.08,0.5432,0.5448
1775462536.038,63,1,17.96,-5.91,-175.57,0.5432,0.5425
1775462536.088,64,1,13.51,-2.47,3.22,0.5434,0.5406
1775462536.138,65,1,13.75,-2.78,3.46,0.5439,0.5397
1775462536.188,66,1,13.22,-3.67,3.53,0.5452,0.5377
1775462536.238,67,1,13.61,-3.49,3.86,0.5465,0.5364
1775462536.288,68,1,14.67,-3.87,4.16,0.5478,0.5354
1775462536.338,69,1,15.25,-3.25,4.01,0.5484,0.5339
1775462536.388,70,1,14.84,-2.78,4.03,0.5482,0.5276
