Timestamp,Event_Type,Key_Button,Active_Window
1776579502.1505237,Mouse,Button.left,Honeypot Exam Collector
1776579529.4698703,Keyboard,c,Honeypot Exam Collector
1776579529.6550405,Keyboard,o,Honeypot Exam Collector
1776579529.8326619,Keyboard,d,Honeypot Exam Collector
1776579529.99034,Keyboard,i,Honeypot Exam Collector
1776579530.2428927,Keyboard,b,Honeypot Exam Collector
1776579530.283226,Keyboard,n,Honeypot Exam Collector
1776579530.471879,Keyboard,g,Honeypot Exam Collector
1776579532.2661006,Keyboard,-,Honeypot Exam Collector
1776579532.4452643,Keyboard,-,Honeypot Exam Collector
1776579533.3089988,Keyboard,Key.backspace,Honeypot Exam Collector
1776579533.4464083,Keyboard,Key.backspace,Honeypot Exam Collector
1776579533.5975523,Keyboard,Key.backspace,Honeypot Exam Collector
1776579533.7799187,Keyboard,Key.backspace,Honeypot Exam Collector
1776579534.2088397,Keyboard,Key.backspace,Honeypot Exam Collector
1776579534.9784162,Keyboard,n,Honeypot Exam Collector
1776579535.362062,Keyboard,g,Honeypot Exam Collector
1776579535.5503588,Keyboard,Key.space,Honeypot Exam Collector
1776579536.0609994,Keyboard,p,Honeypot Exam Collector
1776579536.2361152,Keyboard,r,Honeypot Exam Collector
1776579536.4069626,Keyboard,o,Honeypot Exam Collector
1776579536.6521618,Keyboard,b,Honeypot Exam Collector
1776579536.8739562,Keyboard,l,Honeypot Exam Collector
1776579537.092336,Keyboard,e,Honeypot Exam Collector
1776579537.3148565,Keyboard,m,Honeypot Exam Collector
1776579537.5131292,Keyboard,Key.space,Honeypot Exam Collector
1776579537.8255112,Keyboard,l,Honeypot Exam Collector
1776579538.11446,Keyboard,i,Honeypot Exam Collector
1776579538.3059947,Keyboard,n,Honeypot Exam Collector
1776579538.5647688,Keyboard,k,Honeypot Exam Collector
1776579538.7155716,Keyboard,e,Honeypot Exam Collector
1776579538.917188,Keyboard,d,Honeypot Exam Collector
1776579539.1153917,Keyboard,Key.space,Honeypot Exam Collector
1776579539.5474365,Keyboard,t,Honeypot Exam Collector
1776579539.7029026,Keyboard,o,Honeypot Exam Collector
1776579540.8217225,Keyboard,Key.space,Honeypot Exam Collector
1776579541.090969,Keyboard,i,Honeypot Exam Collector
1776579541.2934794,Keyboard,n,Honeypot Exam Collector
1776579541.481579,Keyboard,t,Honeypot Exam Collector
1776579541.6331701,Keyboard,e,Honeypot Exam Collector
1776579541.8281229,Keyboard,r,Honeypot Exam Collector
1776579542.1851985,Keyboard,v,Honeypot Exam Collector
1776579542.376517,Keyboard,i,Honeypot Exam Collector
1776579542.5648363,Keyboard,e,Honeypot Exam Collector
1776579542.947711,Keyboard,Key.space,Honeypot Exam Collector
1776579543.3492124,Keyboard,-,Honeypot Exam Collector
1776579543.7381983,Keyboard,=,Honeypot Exam Collector
1776579543.9395828,Keyboard,=,Honeypot Exam Collector
1776579544.5880663,Keyboard,Key.backspace,Honeypot Exam Collector
1776579544.7491064,Keyboard,Key.backspace,Honeypot Exam Collector
1776579544.930242,Keyboard,Key.backspace,Honeypot Exam Collector
1776579545.3916786,Keyboard,Key.backspace,Honeypot Exam Collector
1776579545.5820534,Keyboard,w,Honeypot Exam Collector
1776579545.8125932,Keyboard,Key.space,Honeypot Exam Collector
1776579545.9636433,Keyboard,s,Honeypot Exam Collector
1776579546.2325006,Keyboard,t,Honeypot Exam Collector
1776579546.4642172,Keyboard,y,Honeypot Exam Collector
1776579546.6928153,Keyboard,l,Honeypot Exam Collector
1776579546.9245493,Keyboard,e,Honeypot Exam Collector
1776579547.0926855,Keyboard,Key.space,Honeypot Exam Collector
1776579547.234876,Keyboard,q,Honeypot Exam Collector
1776579547.476397,Keyboard,u,Honeypot Exam Collector
1776579547.6045246,Keyboard,e,Honeypot Exam Collector
1776579547.805971,Keyboard,s,Honeypot Exam Collector
1776579548.0343368,Keyboard,t,Honeypot Exam Collector
1776579548.2156656,Keyboard,i,Honeypot Exam Collector
1776579548.3969874,Keyboard,o,Honeypot Exam Collector
1776579548.4774988,Keyboard,b,Honeypot Exam Collector
1776579548.4975219,Keyboard,n,Honeypot Exam Collector
1776579549.6169815,Keyboard,=,Honeypot Exam Collector
1776579549.8480825,Keyboard,=,Honeypot Exam Collector
1776579550.0363588,Keyboard,Key.backspace,Honeypot Exam Collector
1776579550.2075858,Keyboard,Key.backspace,Honeypot Exam Collector
1776579550.3687778,Keyboard,Key.backspace,Honeypot Exam Collector
1776579550.556969,Keyboard,Key.backspace,Honeypot Exam Collector
1776579550.8399925,Keyboard,Key.backspace,Honeypot Exam Collector
1776579551.6216888,Keyboard,o,Honeypot Exam Collector
1776579551.9135652,Keyboard,n,Honeypot Exam Collector
1776579552.1427822,Keyboard,s,Honeypot Exam Collector
1776579552.9548762,Keyboard,Key.enter,Honeypot Exam Collector
1776579554.4922795,Mouse,Button.left,Honeypot Exam Collector
1776579555.0905242,Mouse,Button.left,Honeypot Exam Collector
1776579602.8516707,Keyboard,s,Honeypot Exam Collector
1776579603.2916987,Keyboard,t,Honeypot Exam Collector
1776579603.450869,Keyboard,a,Honeypot Exam Collector
1776579603.9313319,Keyboard,c,Honeypot Exam Collector
1776579604.0721817,Keyboard,k,Honeypot Exam Collector
1776579607.4402125,Keyboard,;,Honeypot Exam Collector
1776579608.441903,Keyboard,Key.space,Honeypot Exam Collector
1776579608.8464448,Keyboard,u,Honeypot Exam Collector
1776579608.9637136,Keyboard,s,Honeypot Exam Collector
