Timestamp,Event_Type,Key_Button,Active_Window
1776594043.5390675,Mouse,Button.left,Honeypot Exam Collector
1776594062.986076,Keyboard,a,Honeypot Exam Collector
1776594063.22795,Keyboard,Key.space,Honeypot Exam Collector
1776594063.4220777,Keyboard,x,Honeypot Exam Collector
1776594063.6131148,Keyboard,c,Honeypot Exam Collector
1776594064.3514364,Keyboard,=,Honeypot Exam Collector
1776594065.0231144,Keyboard,Key.backspace,Honeypot Exam Collector
1776594065.153748,Keyboard,Key.backspace,Honeypot Exam Collector
1776594065.2245858,Keyboard,Key.backspace,Honeypot Exam Collector
1776594065.8864372,Keyboard,c,Honeypot Exam Collector
1776594066.138117,Keyboard,l,Honeypot Exam Collector
1776594066.2389102,Keyboard,a,Honeypot Exam Collector
1776594066.4935548,Keyboard,s,Honeypot Exam Collector
1776594066.6043196,Keyboard,s,Honeypot Exam Collector
1776594066.9900267,Keyboard,Key.space,Honeypot Exam Collector
1776594067.2820132,Keyboard,i,Honeypot Exam Collector
1776594067.5176554,Keyboard,s,Honeypot Exam Collector
1776594067.5212727,Keyboard,d,Honeypot Exam Collector
1776594068.215399,Keyboard,Key.backspace,Honeypot Exam Collector
1776594068.5709908,Keyboard,Key.space,Honeypot Exam Collector
1776594073.9966662,Keyboard,b,Honeypot Exam Collector
1776594074.4296155,Keyboard,l,Honeypot Exam Collector
1776594074.825572,Keyboard,u,Honeypot Exam Collector
1776594075.3125727,Keyboard,e,Honeypot Exam Collector
1776594076.3359704,Keyboard,p,Honeypot Exam Collector
1776594076.514729,Keyboard,r,Honeypot Exam Collector
1776594076.9553697,Keyboard,u,Honeypot Exam Collector
1776594077.1493819,Keyboard,n,Honeypot Exam Collector
1776594077.3107653,Keyboard,t,Honeypot Exam Collector
1776594077.5555723,Keyboard,Key.space,Honeypot Exam Collector
1776594078.6712692,Keyboard,Key.backspace,Honeypot Exam Collector
1776594078.8727007,Keyboard,Key.backspace,Honeypot Exam Collector
1776594079.0974174,Keyboard,Key.backspace,Honeypot Exam Collector
1776594079.4932513,Keyboard,Key.backspace,Honeypot Exam Collector
1776594080.1707568,Keyboard,i,Honeypot Exam Collector
1776594080.4532266,Keyboard,n,Honeypot Exam Collector
1776594080.6178856,Keyboard,t,Honeypot Exam Collector
1776594080.7178938,Keyboard,Key.space,Honeypot Exam Collector
1776594083.43588,Keyboard,o,Honeypot Exam Collector
1776594083.6113985,Keyboard,r,Honeypot Exam Collector
1776594083.8129654,Keyboard,Key.space,Honeypot Exam Collector
1776594084.0973692,Keyboard,t,Honeypot Exam Collector
1776594084.2791095,Keyboard,e,Honeypot Exam Collector
1776594084.6079843,Keyboard,m,Honeypot Exam Collector
1776594084.9073043,Keyboard,p,Honeypot Exam Collector
1776594085.052178,Keyboard,l,Honeypot Exam Collector
1776594085.2228599,Keyboard,a,Honeypot Exam Collector
1776594085.453911,Keyboard,t,Honeypot Exam Collector
1776594085.6486511,Keyboard,e,Honeypot Exam Collector
1776594085.9244456,Keyboard,Key.space,Honeypot Exam Collector
1776594088.519147,Keyboard,f,Honeypot Exam Collector
1776594089.036246,Keyboard,o,Honeypot Exam Collector
1776594089.210879,Keyboard,r,Honeypot Exam Collector
1776594089.4739535,Keyboard,Key.space,Honeypot Exam Collector
1776594089.959088,Keyboard,c,Honeypot Exam Collector
1776594090.3951807,Keyboard,r,Honeypot Exam Collector
1776594090.7616394,Keyboard,e,Honeypot Exam Collector
1776594091.2078488,Keyboard,a,Honeypot Exam Collector
1776594091.8270447,Keyboard,t,Honeypot Exam Collector
1776594092.0923817,Keyboard,i,Honeypot Exam Collector
1776594092.3750684,Keyboard,n,Honeypot Exam Collector
1776594092.6106424,Keyboard,g,Honeypot Exam Collector
1776594092.8032973,Keyboard,Key.space,Honeypot Exam Collector
1776594093.430688,Keyboard,o,Honeypot Exam Collector
1776594093.7859604,Keyboard,b,Honeypot Exam Collector
1776594094.2015588,Keyboard,j,Honeypot Exam Collector
1776594094.3829687,Keyboard,e,Honeypot Exam Collector
1776594094.60905,Keyboard,c,Honeypot Exam Collector
1776594094.890676,Keyboard,t,Honeypot Exam Collector
1776594096.0074036,Keyboard,Key.space,Honeypot Exam Collector
1776594096.2019007,Keyboard,a,Honeypot Exam Collector
1776594096.3434603,Keyboard,n,Honeypot Exam Collector
1776594096.5345917,Keyboard,d,Honeypot Exam Collector
1776594096.617792,Keyboard,Key.space,Honeypot Exam Collector
1776594097.1771219,Keyboard,a,Honeypot Exam Collector
1776594098.381477,Keyboard,Key.space,Honeypot Exam Collector
1776594102.7542005,Keyboard,o,Honeypot Exam Collector
1776594103.392465,Keyboard,b,Honeypot Exam Collector
1776594104.0222032,Keyboard,j,Honeypot Exam Collector
1776594104.1772969,Keyboard,e,Honeypot Exam Collector
1776594104.4185956,Keyboard,c,Honeypot Exam Collector
1776594104.6501057,Keyboard,t,Honeypot Exam Collector
1776594104.9866176,Keyboard,Key.space,Honeypot Exam Collector
1776594110.4538677,Keyboard,i,Honeypot Exam Collector
1776594110.9913118,Keyboard,s,Honeypot Exam Collector
1776594111.132167,Keyboard,Key.space,Honeypot Exam Collector
1776594111.2759194,Keyboard,a,Honeypot Exam Collector
1776594111.7435143,Keyboard,r,Honeypot Exam Collector
1776594111.874214,Keyboard,e,Honeypot Exam Collector
1776594112.1171725,Keyboard,a,Honeypot Exam Collector
1776594112.3777285,Keyboard,l,Honeypot Exam Collector
1776594112.8706403,Keyboard,Key.space,Honeypot Exam Collector
1776594113.488525,Keyboard,Key.backspace,Honeypot Exam Collector
1776594113.6398044,Keyboard,Key.backspace,Honeypot Exam Collector
1776594113.8341298,Keyboard,Key.backspace,Honeypot Exam Collector
1776594114.095748,Keyboard,Key.backspace,Honeypot Exam Collector
1776594114.6732564,Keyboard,Key.backspace,Honeypot Exam Collector
1776594114.989005,Keyboard,Key.space,Honeypot Exam Collector
1776594115.606605,Keyboard,r,Honeypot Exam Collector
1776594115.8011167,Keyboard,e,Honeypot Exam Collector
1776594115.912073,Keyboard,a,Honeypot Exam Collector
1776594116.1534822,Keyboard,k,Honeypot Exam Collector
1776594116.1595616,Keyboard,l,Honeypot Exam Collector
1776594116.6299481,Keyboard,Key.backspace,Honeypot Exam Collector
1776594117.036741,Keyboard,Key.backspace,Honeypot Exam Collector
1776594117.6242025,Keyboard,l,Honeypot Exam Collector
1776594117.8691065,Keyboard,Key.space,Honeypot Exam Collector
1776594121.5532365,Keyboard,i,Honeypot Exam Collector
1776594121.8184738,Keyboard,n,Honeypot Exam Collector
1776594122.1216002,Keyboard,d,Honeypot Exam Collector
1776594122.1414921,Keyboard,s,Honeypot Exam Collector
1776594122.18182,Keyboard,t,Honeypot Exam Collector
1776594122.8222651,Keyboard,Key.backspace,Honeypot Exam Collector
1776594123.0760467,Keyboard,Key.backspace,Honeypot Exam Collector
1776594123.1770492,Keyboard,Key.backspace,Honeypot Exam Collector
1776594123.888874,Keyboard,s,Honeypot Exam Collector
1776594124.1037958,Keyboard,t,Honeypot Exam Collector
1776594124.221188,Keyboard,a,Honeypot Exam Collector
1776594125.5487716,Keyboard,n,Honeypot Exam Collector
1776594125.9341335,Keyboard,c,Honeypot Exam Collector
1776594126.846791,Keyboard,e,Honeypot Exam Collector
1776594127.037883,Keyboard,Key.space,Honeypot Exam Collector
1776594127.3645737,Keyboard,p,Honeypot Exam Collector
1776594127.5648742,Keyboard,f,Honeypot Exam Collector
1776594127.849663,Keyboard,Key.space,Honeypot Exam Collector
1776594128.4669125,Keyboard,Key.backspace,Honeypot Exam Collector
1776594128.618215,Keyboard,Key.backspace,Honeypot Exam Collector
1776594128.7086797,Keyboard,Key.backspace,Honeypot Exam Collector
1776594128.8426173,Keyboard,Key.backspace,Honeypot Exam Collector
1776594129.3159769,Keyboard,Key.space,Honeypot Exam Collector
1776594129.6122284,Keyboard,o,Honeypot Exam Collector
1776594129.8871615,Keyboard,f,Honeypot Exam Collector
1776594129.998037,Keyboard,Key.space,Honeypot Exam Collector
1776594130.2698846,Keyboard,c,Honeypot Exam Collector
