Timestamp,Event_Type,Key_Button,Active_Window
1776591548.8901017,Mouse,Button.left,Honeypot Exam Collector
1776591551.8675444,Mouse,Button.left,Honeypot Exam Collector
1776591554.514079,Mouse,Button.left,Google Chrome
1776591555.318897,Mouse,Button.left,Google Chrome
1776591556.5748913,Mouse,Button.left,Google Chrome
1776591558.4614863,Mouse,Button.left,New Tab - Google Chrome
1776591559.8851478,Keyboard,w,New Tab - Google Chrome
1776591560.6238325,Keyboard,r,New Tab - Google Chrome
1776591560.8380167,Keyboard,i,New Tab - Google Chrome
1776591561.3153217,Keyboard,t,New Tab - Google Chrome
1776591561.5067444,Keyboard,e,New Tab - Google Chrome
1776591561.843078,Keyboard,Key.space,New Tab - Google Chrome
1776591562.5825193,Keyboard,d,New Tab - Google Chrome
1776591562.8784318,Keyboard,i,New Tab - Google Chrome
1776591563.515526,Keyboard,f,New Tab - Google Chrome
1776591563.6970866,Keyboard,f,New Tab - Google Chrome
1776591563.8609424,Keyboard,e,New Tab - Google Chrome
1776591564.0341668,Keyboard,r,New Tab - Google Chrome
1776591564.195414,Keyboard,e,New Tab - Google Chrome
1776591564.6821604,Keyboard,n,New Tab - Google Chrome
1776591565.2097962,Keyboard,c,New Tab - Google Chrome
1776591565.3637364,Keyboard,e,New Tab - Google Chrome
1776591566.3374865,Keyboard,Key.space,New Tab - Google Chrome
1776591567.361193,Keyboard,b,New Tab - Google Chrome
1776591567.6932244,Keyboard,e,New Tab - Google Chrome
1776591567.9983428,Keyboard,t,New Tab - Google Chrome
1776591568.3842654,Keyboard,w,New Tab - Google Chrome
1776591570.1161053,Keyboard,e,New Tab - Google Chrome
1776591570.3310504,Keyboard,e,New Tab - Google Chrome
1776591570.693578,Keyboard,n,New Tab - Google Chrome
1776591570.9679255,Keyboard,Key.space,New Tab - Google Chrome
1776591572.2935295,Keyboard,c,New Tab - Google Chrome
1776591572.9540431,Keyboard,l,New Tab - Google Chrome
1776591573.2272124,Keyboard,a,New Tab - Google Chrome
1776591573.541398,Keyboard,s,New Tab - Google Chrome
1776591573.7329314,Keyboard,s,New Tab - Google Chrome
1776591573.9572484,Keyboard,Key.space,New Tab - Google Chrome
1776591574.1897733,Keyboard,a,New Tab - Google Chrome
1776591574.444695,Keyboard,n,New Tab - Google Chrome
1776591574.7266207,Keyboard,d,New Tab - Google Chrome
1776591574.9617302,Keyboard,Key.space,New Tab - Google Chrome
1776591575.5900922,Keyboard,p,New Tab - Google Chrome
1776591576.1566346,Keyboard,b,New Tab - Google Chrome
1776591576.8478796,Keyboard,j,New Tab - Google Chrome
1776591577.0287561,Keyboard,e,New Tab - Google Chrome
1776591577.3443868,Keyboard,c,New Tab - Google Chrome
1776591578.0925622,Keyboard,t,New Tab - Google Chrome
1776591578.2840333,Keyboard,Key.enter,New Tab - Google Chrome
1776591582.7110677,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591591.8293352,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591597.4265802,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591597.5540419,Mouse,Button.left,Honeypot Exam Collector
1776591601.408298,Mouse,Button.left,Honeypot Exam Collector
1776591604.3599458,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591610.4810953,Keyboard,Key.ctrl_l,write difference between class and pbject - Google Search - Google Chrome
1776591611.0387084,Keyboard,,write difference between class and pbject - Google Search - Google Chrome
1776591612.3784845,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591613.6074657,Keyboard,Key.ctrl_l,Honeypot Exam Collector
1776591614.1039417,Keyboard,,Honeypot Exam Collector
1776591616.5471878,Mouse,Button.left,Honeypot Exam Collector
1776591616.7189002,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591616.8822453,Mouse,Button.left,Honeypot Exam Collector
1776591619.0745866,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591620.7381089,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591622.3681228,Keyboard,a,Honeypot Exam Collector
1776591622.5019643,Keyboard,t,Honeypot Exam Collector
1776591622.934422,Keyboard,e,Honeypot Exam Collector
1776591624.4784174,Keyboard,Key.enter,Honeypot Exam Collector
1776591627.9990618,Keyboard,c,Honeypot Exam Collector
1776591629.122371,Keyboard,l,Honeypot Exam Collector
1776591629.316448,Keyboard,a,Honeypot Exam Collector
1776591629.7325435,Keyboard,s,Honeypot Exam Collector
1776591629.8941216,Keyboard,s,Honeypot Exam Collector
1776591632.8280017,Keyboard,Key.left,Honeypot Exam Collector
1776591632.9991465,Keyboard,Key.left,Honeypot Exam Collector
1776591633.200748,Keyboard,Key.left,Honeypot Exam Collector
1776591634.0305204,Keyboard,Key.backspace,Honeypot Exam Collector
1776591635.1053205,Keyboard,Key.shift,Honeypot Exam Collector
1776591635.3100336,Keyboard,C,Honeypot Exam Collector
1776591637.8499515,Keyboard,Key.down,Honeypot Exam Collector
1776591638.6382031,Keyboard,Key.left,Honeypot Exam Collector
1776591638.8724208,Keyboard,Key.left,Honeypot Exam Collector
1776591639.0842211,Keyboard,Key.left,Honeypot Exam Collector
1776591639.4701335,Keyboard,Key.left,Honeypot Exam Collector
1776591640.4511702,Keyboard,Key.backspace,Honeypot Exam Collector
1776591641.0613258,Keyboard,Key.right,Honeypot Exam Collector
1776591642.6347766,Keyboard,l,Honeypot Exam Collector
1776591643.8285892,Mouse,Button.left,Honeypot Exam Collector
1776591645.149125,Keyboard,Key.shift_r,Honeypot Exam Collector
1776591645.374495,Keyboard,:,Honeypot Exam Collector
1776591646.0123415,Keyboard,Key.enter,Honeypot Exam Collector
1776591647.5508375,Mouse,Button.left,Honeypot Exam Collector
1776591647.8159697,Keyboard,1,Honeypot Exam Collector
1776591648.57736,Keyboard,.,Honeypot Exam Collector
1776591650.6434567,Mouse,Button.left,Honeypot Exam Collector
1776591657.145859,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591659.71397,Keyboard,Key.caps_lock,Honeypot Exam Collector
1776591659.9988773,Keyboard,a,Honeypot Exam Collector
1776591660.595814,Keyboard,Key.space,Honeypot Exam Collector
1776591661.1629117,Keyboard,b,Honeypot Exam Collector
1776591661.9542298,Keyboard,l,Honeypot Exam Collector
1776591664.065267,Keyboard,u,Honeypot Exam Collector
1776591664.1861768,Keyboard,e,Honeypot Exam Collector
1776591665.9847152,Keyboard,p,Honeypot Exam Collector
1776591666.1257198,Keyboard,r,Honeypot Exam Collector
1776591666.418877,Keyboard,i,Honeypot Exam Collector
1776591666.9355562,Keyboard,n,Honeypot Exam Collector
1776591667.2811406,Keyboard,t,Honeypot Exam Collector
1776591667.5366738,Keyboard,Key.space,Honeypot Exam Collector
1776591669.6021295,Keyboard,Key.caps_lock,Honeypot Exam Collector
1776591671.0574589,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.2193298,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.3595939,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.504821,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.6456566,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.806933,Keyboard,Key.backspace,Honeypot Exam Collector
1776591671.9476523,Keyboard,Key.backspace,Honeypot Exam Collector
1776591672.091718,Keyboard,Key.backspace,Honeypot Exam Collector
1776591672.2230482,Keyboard,Key.backspace,Honeypot Exam Collector
1776591672.4342213,Keyboard,Key.backspace,Honeypot Exam Collector
1776591673.8059077,Keyboard,b,Honeypot Exam Collector
1776591674.3331,Keyboard,l,Honeypot Exam Collector
1776591674.942187,Keyboard,u,Honeypot Exam Collector
1776591675.5628445,Keyboard,r,Honeypot Exam Collector
1776591675.8352659,Keyboard,p,Honeypot Exam Collector
1776591676.0914652,Keyboard,r,Honeypot Exam Collector
1776591676.433579,Keyboard,i,Honeypot Exam Collector
1776591676.7599502,Keyboard,n,Honeypot Exam Collector
1776591677.115221,Keyboard,t,Honeypot Exam Collector
1776591677.4178116,Keyboard,Key.space,Honeypot Exam Collector
1776591679.3333607,Mouse,Button.left,Honeypot Exam Collector
1776591684.1863277,Keyboard,Key.space,write difference between class and pbject - Google Search - Google Chrome
1776591690.567916,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591691.3163645,Keyboard,Key.backspace,Honeypot Exam Collector
1776591691.4678137,Keyboard,Key.backspace,Honeypot Exam Collector
1776591691.6288905,Keyboard,Key.backspace,Honeypot Exam Collector
1776591691.722295,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.2291055,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.2698662,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.3093023,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.4906487,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.631942,Keyboard,Key.backspace,Honeypot Exam Collector
1776591692.795838,Keyboard,Key.backspace,Honeypot Exam Collector
1776591693.0075345,Keyboard,Key.backspace,Honeypot Exam Collector
1776591693.2120366,Keyboard,Key.backspace,Honeypot Exam Collector
1776591693.3931818,Keyboard,Key.backspace,Honeypot Exam Collector
1776591693.7297828,Keyboard,Key.backspace,Honeypot Exam Collector
1776591694.33668,Keyboard,Key.backspace,Honeypot Exam Collector
1776591694.5180964,Keyboard,Key.backspace,Honeypot Exam Collector
1776591694.7023776,Keyboard,Key.backspace,Honeypot Exam Collector
1776591695.0473769,Keyboard,Key.backspace,Honeypot Exam Collector
1776591695.2421865,Keyboard,Key.backspace,Honeypot Exam Collector
1776591695.46412,Keyboard,Key.backspace,Honeypot Exam Collector
1776591695.910862,Keyboard,Key.backspace,Honeypot Exam Collector
1776591697.3247633,Mouse,Button.left,Honeypot Exam Collector
1776591700.9865859,Mouse,Button.left,Honeypot Exam Collector
1776591702.9893706,Mouse,Button.left,write difference between class and pbject - Google Search - Google Chrome
1776591705.8300993,Keyboard,Key.ctrl_l,write difference between class and pbject - Google Search - Google Chrome
1776591706.3986392,Keyboard,,write difference between class and pbject - Google Search - Google Chrome
